frequency,magnitude,phase,complex,label
165330.58736948052,0.03673950164255615,115.0405217660209,(-0.015550329557478176+0.03328630696843984j),Loop measured
172496.60111270094,0.016179401520839902,107.0903510987698,(-0.0047547921746349696+0.015464959907758783j),Loop measured
179973.2152946245,0.011711999604478463,78.10538955022213,(0.002413985309756355+0.01146052396967888j),Loop measured
187773.89243932394,0.0063760686182584075,55.30825216511311,(0.003629010268074531+0.005242569551179011j),Loop measured
195912.6785843889,0.003275206145440101,69.75080838908096,(0.0011335613583996606+0.0030727860227929508j),Loop measured
204404.2285724705,0.00126758843990749,46.8614693584454,(0.0008667321576657969+0.0009249626045711776j),Loop measured
213263.8324390511,0.0013326367812216784,59.57436105093663,(0.0006748734850764553+0.0011491155598135614j),Loop measured
222507.4429439527,0.0009016950578254318,124.7765895824235,(-0.0005143070305729739+0.00074063638555638j),Loop measured
232151.70429615982,0.00045808013200716136,59.57500975185729,(0.00023197631922814997+0.00039499923374236795j),Loop measured
242213.98212367695,0.0030741904066329843,-110.4891030359836,(-0.0010760565046256877-0.002879713363355287j),Loop measured
252712.39474238642,0.001232323538414991,-2.07124688557853,(0.001231518408572843-4.453888949958256e-05j),Loop measured
263665.8457802092,0.0003703051611448653,133.9391701001767,(-0.00025695262908488327+0.00026664819290010396j),Loop measured
275094.0582153123,0.0009635740140929308,-52.01602423426711,(0.0005930230163144938-0.000759472568797862j),Loop measured
287017.60988965357,0.0009648299771263182,-50.04898845352056,(0.0006195485881294204-0.0007396326329390918j),Loop measured
299457.97056180815,0.0026608387026385272,-72.12881857611322,(0.0008165527181045213-0.0025324502482803484j),Loop measured
312437.54056579724,0.001754229797046183,-88.92505935961938,(3.29096191184791e-05-0.0017539210751382655j),Loop measured
325979.6911455259,0.0016289732731714242,-129.3841021291532,(-0.0010336097328496057-0.0012590491828619683j),Loop measured
340108.80653745955,0.001446525864917775,173.404887255892,(-0.0014369535754438993+0.00016613699135084587j),Loop measured
354850.327877313,0.0010909472794357457,60.2998798989349,(0.0005405212727836673+0.0009476300544920362j),Loop measured
370230.7990098101,0.0018093496658696646,-106.8841310382919,(-0.0005255024109234077-0.0017313559511251153j),Loop measured
386277.9142840011,0.0002916398834735413,73.18913248389471,(8.434615361411063e-05+0.00027917655346208j),Loop measured
403020.5684201989,0.0005084416123430642,-67.35389602418553,(0.00019576937926055952-0.0004692411142535892j),Loop measured
420488.908538325,0.0017646365046059106,123.9528311977083,(-0.0009855675014477376+0.0014637618294920213j),Loop measured
438714.3884413474,0.0004752287618472256,173.1530110960293,(-0.000471839463481534+5.665595104051464e-05j),Loop measured
457729.82525155717,0.0011322788178336227,116.9508752061947,(-0.0005131786449518473+0.0010093081787442783j),Loop measured
477569.45850165945,0.0021180688389854365,-35.23360003174253,(0.0017300528610231056-0.0012219380936638656j),Loop measured
498269.01178708463,0.0010353790542225615,83.40885166002892,(0.00011884462047750297+0.0010285357271900496j),Loop measured
519865.7570905263,0.001042859470319155,94.47031847197853,(-8.128322211958259e-05+0.0010396869301074277j),Loop measured
542398.5818945351,0.0004142164336352688,71.75220400552678,(0.00012970246272276593+0.0003933859746574229j),Loop measured
565908.0592030091,0.0018659093073880829,-136.8044451443695,(-0.0013602884388302869-0.0012771972856932229j),Loop measured
590436.5205976643,0.001633273058231675,-35.23441883412395,(0.0013340549437992363-0.0009422729379910394j),Loop measured
616028.1324610302,0.001481512364665011,121.1454327838088,(-0.0007662561876993295+0.0012679630678642821j),Loop measured
642728.9755032232,0.001972111258560996,-34.48596375802646,(0.0016255421313696782-0.001116617927173462j),Loop measured
670587.1277356894,0.0023835803265063104,-59.28176484611028,(0.001217572282900119-0.0020491395532811624j),Loop measured
699652.7510413243,0.0016051884417706277,122.1826055321294,(-0.0008549544326886297+0.0013585591086221016j),Loop measured
729978.1814968481,0.0010475612047073854,11.64542295750967,(0.0010259977137697847+0.00021145488631659363j),Loop measured
761618.0236100751,0.0027992782313734097,9.55280288574961,(0.0027604608569609594+0.0004645583642852752j),Loop measured
794629.2486417571,0.0016364007735425715,13.14471503148468,(0.0015935250874250183+0.00037213611407361976j),Loop measured
829071.2971890474,0.0031267239011612516,77.92703440745395,(0.0006539767629052259+0.0030575671288907195j),Loop measured
865006.1862152931,0.0020824937829383734,15.96336695419925,(0.002002188101553051+0.0005727330634565862j),Loop measured
902498.6207188776,0.0004923269765644436,-98.49273066601738,(-7.2708782609735e-05-0.0004869284185427017j),Loop measured
941616.1102421914,0.00026500100473610924,-49.97226618092941,(0.00017043760510335095-0.00020292007115557j),Loop measured
982429.0904305074,0.002831364179362988,-78.92806508346057,(0.0005437387975181184-0.0027786635701814275j),Loop measured
