ch1,ch2,frequency
2.3630933635065027e-08,2.6843213981150585e-08,3629455.7503424585
2.302605458858265e-08,2.668350801080227e-08,3642171.4078945415
2.289825457072003e-08,2.652381154441737e-08,3654887.065446625
2.331110168929212e-08,2.588708973408429e-08,3667602.7229987085
2.3946539574420814e-08,2.537760767647784e-08,3680318.3805507915
2.4295740043557125e-08,2.5313362663182556e-08,3693034.038102875
2.4485924534812928e-08,2.5376321790624307e-08,3705749.6956549585
2.508948892860063e-08,2.5248484422444736e-08,3718465.3532070415
2.5406839454682964e-08,2.496166329402519e-08,3731181.010759125
2.5151820329647357e-08,2.4897440351597824e-08,3743896.6683112085
2.4451661506195397e-08,2.5278375679356747e-08,3756612.3258632915
2.39423144502518e-08,2.5595701371119122e-08,3769327.983415375
2.352837942119918e-08,2.581762714866721e-08,3782043.6409674585
2.3527792339528873e-08,2.6166720399232782e-08,3794759.2985195415
2.387693521982707e-08,2.661117813448104e-08,3807474.956071625
2.435323286448243e-08,2.7341749691194373e-08,3820190.6136237085
2.470234031639507e-08,2.7277487762505756e-08,3832906.2711757915
2.45427732067285e-08,2.705427461000771e-08,3845621.928727875
2.3842778904080278e-08,2.6926444975674665e-08,3858337.5862799585
2.3587874581474098e-08,2.7307256422488212e-08,3871053.2438320415
2.3491928034017088e-08,2.7878783336715814e-08,3883768.901384125
2.3586715545510735e-08,2.803703923334295e-08,3896484.5589362085
2.3681499600347385e-08,2.7400607591274425e-08,3909200.2164882915
2.3680920800606502e-08,2.6160265528723692e-08,3921915.874040375
2.355320044280268e-08,2.5142485223018786e-08,3934631.5315924585
2.36797668740949e-08,2.4824024065326333e-08,3947347.1891445415
2.3869896647115534e-08,2.4728068697011832e-08,3960062.846696625
2.364683446460179e-08,2.4981736410184152e-08,3972778.5042487085
2.326487122287951e-08,2.5330740935293675e-08,3985494.1618007915
2.3010054988321004e-08,2.539369328131006e-08,3998209.819352875
2.300950083074777e-08,2.5075270932955792e-08,4010925.4769049585
2.3644554156930057e-08,2.4915766746012318e-08,4023641.1344570415
2.4057121318989928e-08,2.5232964765228537e-08,4036356.792009125
2.427899717765263e-08,2.605860953622403e-08,4049072.4495612085
2.4373751522571382e-08,2.6629991885156214e-08,4061788.1071132915
